battery_level,temperature,usage_hours,cpu_usage,ram_usage,device_type,device_age_months,user_rating,charging_speed,screen_brightness,label,issue_type,device,timestamp
21.97,57.15,1.03,54.1,23.72,7,1,5,50.0,50.0,1,ram_problem,laptop,2025-02-01 14:00:45.807125
84.52322123809884,31.297469293174323,2.66,23.662121059872877,32.23,7,55,4,50.0,50.0,0,healthy,laptop,2025-07-06 14:00:45.807150
64.01,20.87,7.29,69.31,33.52,7,46,3,50.0,50.0,1,hard_drive_failure,laptop,2025-06-15 14:00:45.807162
15.49,42.79,11.64,30.0,40.0,1,42,5,50.0,92.27,1,battery_drain,tablet,2024-12-24 14:00:45.807174
73.01,52.92,18.48,23.08,87.68,5,24,4,50.0,50.0,1,screen_damage,smartwatch,2025-09-01 14:00:45.807184
50.76857486533215,20.94932882077671,16.21,18.533777467794714,40.0,2,15,2,50.0,80.82,0,healthy,headphones,2025-04-16 14:00:45.807196
9.18,45.37,17.17,24.54,40.08,7,5,2,50.0,50.0,1,keyboard_malfunction,laptop,2025-07-04 14:00:45.807206
77.94128810852251,28.218385808533558,8.0,14.711998582364306,40.0,4,9,3,26.15,50.0,0,healthy,smartphone,2025-07-29 14:00:45.807219
68.38662538568194,25.476787426100252,9.92,6.373312724345564,24.03,1,23,5,50.0,50.0,0,healthy,tablet,2025-11-03 14:00:45.807231
52.62473226576007,34.720471493930305,10.62,11.521426008856551,64.3,1,37,3,50.0,50.0,0,healthy,tablet,2024-12-11 14:00:45.807245
50.0,30.0,8.0,82.9,83.63,4,55,1,50.0,50.0,1,software_lag,smartphone,2025-08-16 14:00:45.807259
70.16818962058024,31.7313804188365,1.93,17.476250248897685,35.59,5,15,2,50.0,50.0,0,healthy,smartwatch,2025-01-28 14:00:45.807271
80.71626216620416,27.621763134108647,8.0,43.71837125534846,80.1,4,29,2,50.0,50.0,0,healthy,smartphone,2025-08-02 14:00:45.807283
64.38,23.39,7.01,7.79,19.6,2,36,3,50.0,50.0,1,connectivity_issue,headphones,2025-09-06 14:00:45.807293
28.9,38.42,16.31,33.04,78.82,5,59,5,50.0,50.0,1,water_damage,smartwatch,2024-12-30 14:00:45.807306
94.02499692341664,29.56666250001475,10.06,12.230451062051523,40.0,4,5,3,50.0,50.0,0,healthy,smartphone,2025-11-02 14:00:45.807318
9.21,33.5,15.52,82.9,56.43,1,32,2,50.0,50.0,1,storage_full,tablet,2025-01-09 14:00:45.807328
80.63,34.65,17.44,22.37,99.38,5,52,4,50.0,50.0,1,screen_damage,smartwatch,2025-04-14 14:00:45.807339
2.08,24.44,10.31,38.98,54.66,7,20,3,50.0,50.0,1,keyboard_malfunction,laptop,2025-02-06 14:00:45.807348
93.82,57.97,13.82,97.75,48.65,2,19,5,50.0,50.0,1,audio_distortion,headphones,2025-10-30 14:00:45.807359
56.65,63.46,4.95,96.88,40.0,4,46,2,50.0,50.0,1,overheating,smartphone,2024-12-23 14:00:45.807370
50.0,30.0,20.24,30.0,40.0,4,36,3,50.0,50.0,1,screen_crack,smartphone,2025-09-16 14:00:45.807380
75.46913796050917,26.358845869800167,15.24,45.15740923913788,63.16,7,20,3,50.0,50.0,0,healthy,laptop,2025-05-09 14:00:45.807392
50.0,30.0,8.0,30.0,40.0,2,54,4,25.14,50.0,1,charging_issue,headphones,2024-12-27 14:00:45.807406
29.59,37.99,23.86,30.0,40.0,1,10,5,50.0,72.18,1,battery_drain,tablet,2025-06-25 14:00:45.807418
92.21961122740018,25.695954341813533,6.75,45.874484158138095,79.95,2,19,5,50.0,50.0,0,healthy,headphones,2025-10-12 14:00:45.807430
96.26,38.51,22.7,42.84,95.17,7,2,3,50.0,50.0,1,ram_problem,laptop,2025-01-24 14:00:45.807443
7.81,45.2,16.21,2.66,6.35,7,39,3,50.0,50.0,1,keyboard_malfunction,laptop,2025-02-17 14:00:45.807453
9.35,58.36,18.68,10.09,92.46,2,15,5,50.0,50.0,1,connectivity_issue,headphones,2025-09-04 14:00:45.807463
55.65,58.52,14.84,16.79,64.84,2,3,1,50.0,50.0,1,audio_distortion,headphones,2025-01-17 14:00:45.807473
29.34,35.66,18.71,30.0,40.0,4,44,3,50.0,93.57,1,battery_drain,smartphone,2025-09-24 14:00:45.807485
80.02100129726901,30.74629489199026,8.0,42.67930022221152,97.63,4,14,4,50.0,50.0,0,healthy,smartphone,2025-06-06 14:00:45.807497
38.48,23.98,9.76,21.28,64.78,7,35,2,50.0,50.0,1,keyboard_malfunction,laptop,2024-12-13 14:00:45.807507
22.49,54.54,10.8,95.62,40.0,7,11,3,50.0,50.0,1,overheating,laptop,2025-07-23 14:00:45.807519
56.73,71.44,10.5,85.82,40.0,4,10,3,50.0,50.0,1,overheating,smartphone,2025-01-24 14:00:45.807529
80.03648089513626,25.51050263696224,3.45,12.590152422422884,49.29,7,48,1,50.0,50.0,0,healthy,laptop,2025-09-10 14:00:45.807541
50.0,30.0,8.0,89.31,81.41,4,23,3,50.0,50.0,1,software_lag,smartphone,2025-11-16 14:00:45.807551
86.45,38.75,13.87,80.14,39.38,5,23,1,50.0,50.0,1,connectivity_issue,smartwatch,2025-01-08 14:00:45.807562
12.31,25.67,12.31,2.65,58.15,2,32,3,50.0,50.0,1,audio_distortion,headphones,2025-07-07 14:00:45.807572
96.80504037387405,27.669013729636102,0.75,1.6204429519079078,13.86,5,28,2,50.0,50.0,0,healthy,smartwatch,2025-07-26 14:00:45.807583
25.94,40.24,20.44,30.0,40.0,1,29,3,50.0,96.29,1,battery_drain,tablet,2025-11-03 14:00:45.807594
57.57907178633342,33.09598579840968,8.0,44.746497210645515,40.0,2,9,1,27.73,50.0,0,healthy,headphones,2025-03-18 14:00:45.807610
18.52,38.83,3.13,75.39,65.87,1,17,1,50.0,50.0,1,wifi_connectivity,tablet,2025-07-12 14:00:45.807625
37.63,33.68,4.98,18.76,50.61,7,1,3,50.0,50.0,1,hard_drive_failure,laptop,2025-08-03 14:00:45.807635
30.67,75.53,6.1,94.61,40.0,4,29,3,50.0,50.0,1,overheating,smartphone,2025-09-29 14:00:45.807646
59.39,75.05,6.61,83.51,40.0,7,15,1,50.0,50.0,1,overheating,laptop,2025-03-13 14:00:45.807657
4.53,21.71,6.99,30.66,12.5,1,56,2,50.0,50.0,1,wifi_connectivity,tablet,2025-09-06 14:00:45.807669
93.03979199573925,34.7829182340016,2.64,6.244866296146389,1.31,7,33,3,50.0,50.0,0,healthy,laptop,2025-09-23 14:00:45.807680
22.24,43.22,11.22,30.0,40.0,1,3,5,50.0,77.64,1,battery_drain,tablet,2025-04-15 14:00:45.807691
72.14956837391114,22.30753505382125,8.0,26.05642020760906,40.0,2,6,1,7.05,50.0,0,healthy,headphones,2025-09-17 14:00:45.807704
52.854172586755496,21.06850171848372,5.94,12.255417299105552,21.12,1,37,3,50.0,50.0,0,healthy,tablet,2025-09-11 14:00:45.807715
90.63,23.01,11.06,18.91,11.32,7,39,2,50.0,50.0,1,hard_drive_failure,laptop,2025-06-01 14:00:45.807725
2.71,37.38,19.38,30.0,40.0,4,55,1,50.0,83.05,1,battery_drain,smartphone,2025-08-10 14:00:45.807736
37.75,21.74,16.14,32.26,83.5,7,5,2,50.0,50.0,1,battery_issue,laptop,2025-05-25 14:00:45.807747
94.5,58.39,6.27,10.52,23.41,1,52,2,50.0,50.0,1,screen_issue,tablet,2025-12-03 14:00:45.807760
11.69,35.83,0.74,10.42,86.43,5,58,4,50.0,50.0,1,water_damage,smartwatch,2025-10-20 14:00:45.807771
93.75124426321796,20.907976833093937,10.39,24.798881060131883,40.0,1,18,3,50.0,84.83,0,healthy,tablet,2025-03-08 14:00:45.807783
72.32367866088208,28.43198704182592,17.96,31.37674153320506,52.58,7,22,5,50.0,50.0,0,healthy,laptop,2024-12-06 14:00:45.807795
50.0,30.0,3.47,30.0,40.0,4,48,2,50.0,50.0,1,screen_crack,smartphone,2025-08-23 14:00:45.807806
16.12,38.91,17.74,30.0,40.0,5,31,3,50.0,83.7,1,battery_drain,smartwatch,2025-06-07 14:00:45.807817
87.33,26.75,19.84,76.91,41.45,1,22,2,50.0,50.0,1,storage_full,tablet,2025-07-17 14:00:45.807828
62.69,28.18,14.86,64.17,59.33,7,40,3,50.0,50.0,1,battery_issue,laptop,2025-08-31 14:00:45.807838
50.0,30.0,8.0,30.0,40.0,2,21,3,11.61,50.0,1,charging_issue,headphones,2025-03-11 14:00:45.807849
23.97,22.96,0.23,66.47,67.43,5,33,1,50.0,50.0,1,screen_damage,smartwatch,2025-07-16 14:00:45.807860
22.1,38.45,13.17,30.0,40.0,1,55,2,50.0,78.47,1,battery_drain,tablet,2025-04-12 14:00:45.807871
30.06,42.27,1.59,90.76,88.06,1,54,5,50.0,50.0,1,storage_full,tablet,2025-02-26 14:00:45.807881
14.43,51.74,0.53,57.31,36.08,2,54,3,50.0,50.0,1,connectivity_issue,headphones,2025-07-29 14:00:45.807892
77.89,26.1,6.36,11.78,1.03,2,36,4,50.0,50.0,1,connectivity_issue,headphones,2025-10-22 14:00:45.807903
21.35,37.42,17.35,30.0,40.0,1,32,1,50.0,73.12,1,battery_drain,tablet,2025-08-02 14:00:45.807914
93.64,30.79,1.09,28.12,46.18,7,48,2,50.0,50.0,1,battery_issue,laptop,2025-09-09 14:00:45.807924
14.22,43.6,18.72,30.0,40.0,1,35,3,50.0,80.87,1,battery_drain,tablet,2025-05-01 14:00:45.807935
24.06,32.01,1.99,40.93,28.66,2,21,4,50.0,50.0,1,audio_distortion,headphones,2025-06-21 14:00:45.807945
14.17,44.85,16.13,30.0,40.0,4,52,3,50.0,84.92,1,battery_drain,smartphone,2024-12-22 14:00:45.807956
28.6,38.48,5.05,88.33,32.24,7,11,4,50.0,50.0,1,keyboard_malfunction,laptop,2025-03-24 14:00:45.807969
3.45,37.82,11.61,30.0,40.0,4,7,1,50.0,87.41,1,battery_drain,smartphone,2025-11-13 14:00:45.807983
17.14,22.51,7.77,36.23,1.23,1,13,4,50.0,50.0,1,wifi_connectivity,tablet,2025-09-02 14:00:45.807993
69.0,54.13,3.06,96.92,89.35,7,48,2,50.0,50.0,1,hard_drive_failure,laptop,2025-08-28 14:00:45.808003
50.0,30.0,8.0,30.0,40.0,2,34,5,4.0,50.0,1,charging_issue,headphones,2025-09-22 14:00:45.808015
94.91,50.82,16.2,35.09,51.45,7,1,5,50.0,50.0,1,hard_drive_failure,laptop,2025-07-16 14:00:45.808024
98.51095646955628,34.45400569993235,11.54,25.144964678963767,60.8,2,33,4,50.0,50.0,0,healthy,headphones,2025-07-07 14:00:45.808035
15.62,42.63,15.44,30.0,40.0,1,22,1,50.0,77.49,1,battery_drain,tablet,2025-01-05 14:00:45.808046
94.93,28.94,15.77,7.54,5.37,7,25,3,50.0,50.0,1,battery_issue,laptop,2025-03-29 14:00:45.808056
66.82656235349621,32.782235176064994,5.52,33.845979029732206,82.9,7,19,3,50.0,50.0,0,healthy,laptop,2025-11-12 14:00:45.808067
16.0,52.53,9.22,53.04,6.44,1,32,3,50.0,50.0,1,charging_problem,tablet,2025-05-16 14:00:45.808080
76.29,51.45,4.98,50.06,54.54,5,5,3,50.0,50.0,1,screen_damage,smartwatch,2025-05-11 14:00:45.808090
50.0,30.0,8.0,30.0,40.0,4,56,1,12.45,50.0,1,charging_issue,smartphone,2025-02-13 14:00:45.808101
24.94,43.29,12.38,30.0,40.0,4,53,4,50.0,86.77,1,battery_drain,smartphone,2025-07-11 14:00:45.808114
51.51,46.01,17.63,55.8,9.36,2,48,3,50.0,50.0,1,audio_distortion,headphones,2025-01-08 14:00:45.808125
11.83,44.41,11.25,30.0,40.0,2,32,4,50.0,75.75,1,battery_drain,headphones,2025-07-24 14:00:45.808136
56.066153676701035,22.553980187356487,8.0,39.62406032933191,83.78,4,36,1,50.0,50.0,0,healthy,smartphone,2025-04-24 14:00:45.808148
64.97258511662923,22.48893168331338,13.46,21.80643827556236,33.91,7,38,5,50.0,50.0,0,healthy,laptop,2025-07-23 14:00:45.808159
4.59,58.87,11.3,2.3,59.14,1,27,2,50.0,50.0,1,wifi_connectivity,tablet,2025-10-25 14:00:45.808170
36.34,45.21,1.36,28.4,72.26,1,35,5,50.0,50.0,1,wifi_connectivity,tablet,2025-04-04 14:00:45.808180
50.0,30.0,8.0,30.0,40.0,4,22,4,17.41,50.0,1,charging_issue,smartphone,2025-11-21 14:00:45.808194
92.20150516105667,26.17134912936962,9.16,44.61547387747095,70.39,1,30,5,50.0,50.0,0,healthy,tablet,2025-06-02 14:00:45.808205
51.03965193570412,21.953004027691417,21.25,44.27501912029225,40.0,4,23,4,50.0,50.0,0,healthy,smartphone,2025-09-11 14:00:45.808217
32.8,46.45,11.21,2.19,72.1,7,47,5,50.0,50.0,1,battery_issue,laptop,2025-02-01 14:00:45.808227
92.18,59.21,1.54,96.82,27.45,2,19,5,50.0,50.0,1,connectivity_issue,headphones,2025-03-26 14:00:45.808237
88.28627146933272,32.85896906513309,9.61,20.71192263655911,40.0,7,29,5,50.0,50.0,0,healthy,laptop,2025-11-28 14:00:45.808249
35.58,56.17,18.78,21.5,33.98,1,56,5,50.0,50.0,1,charging_problem,tablet,2025-08-29 14:00:45.808260
21.08,32.6,3.95,86.57,19.91,1,24,3,50.0,50.0,1,wifi_connectivity,tablet,2025-03-08 14:00:45.808270
53.149297957721885,27.226976248186624,8.0,27.755161783166425,40.0,2,35,3,17.46,50.0,0,healthy,headphones,2025-10-15 14:00:45.808282
15.36,44.34,20.28,30.0,40.0,4,4,2,50.0,99.99,1,battery_drain,smartphone,2025-11-16 14:00:45.808293
50.0,30.0,8.0,30.0,40.0,2,22,2,22.86,50.0,1,charging_issue,headphones,2025-10-05 14:00:45.808305
5.41,39.49,9.86,74.27,3.28,1,40,3,50.0,50.0,1,charging_problem,tablet,2025-06-07 14:00:45.808316
68.1,65.86,5.2,91.4,40.0,7,20,2,50.0,50.0,1,overheating,laptop,2025-06-03 14:00:45.808333
64.3247924301779,20.298612838864486,7.24,5.0133016655740885,40.13,5,54,3,50.0,50.0,0,healthy,smartwatch,2024-12-29 14:00:45.808344
31.98,47.18,9.91,93.32,40.0,4,27,3,50.0,50.0,1,overheating,smartphone,2025-02-05 14:00:45.808355
62.00368449893168,32.72470521622692,8.0,7.1983272338420115,97.16,4,15,5,50.0,50.0,0,healthy,smartphone,2025-11-04 14:00:45.808370
0.15,41.46,9.14,8.13,4.91,5,51,4,50.0,50.0,1,water_damage,smartwatch,2025-10-17 14:00:45.808381
50.21,30.7,14.35,18.27,2.1,5,28,2,50.0,50.0,1,screen_damage,smartwatch,2025-06-17 14:00:45.808392
50.0,30.0,8.0,85.69,90.96,4,42,4,50.0,50.0,1,software_lag,smartphone,2024-12-09 14:00:45.808403
11.22,44.44,16.04,30.0,40.0,1,55,2,50.0,93.55,1,battery_drain,tablet,2025-01-08 14:00:45.808415
90.16985873271409,21.948418749259886,14.7,15.982320465033656,89.79,2,25,5,50.0,50.0,0,healthy,headphones,2025-06-22 14:00:45.808426
29.75,41.72,11.3,30.0,40.0,4,12,4,50.0,95.38,1,battery_drain,smartphone,2025-08-21 14:00:45.808441
15.91,41.93,15.3,30.0,40.0,1,22,2,50.0,75.6,1,battery_drain,tablet,2025-06-18 14:00:45.808452
98.97,29.85,5.64,54.85,1.47,1,17,4,50.0,50.0,1,storage_full,tablet,2025-03-12 14:00:45.808463
50.0,30.0,8.0,92.0,99.62,4,6,2,50.0,50.0,1,software_lag,smartphone,2025-08-11 14:00:45.808474
89.5906235364,33.530489120524,11.79,5.03877161391984,9.24,1,4,1,50.0,50.0,0,healthy,tablet,2025-06-12 14:00:45.808485
50.0,30.0,8.0,99.51,93.69,4,4,1,50.0,50.0,1,software_lag,smartphone,2025-08-13 14:00:45.808496
66.69,28.8,3.28,48.26,98.06,7,38,4,50.0,50.0,1,ram_problem,laptop,2025-09-16 14:00:45.808507
11.71,42.08,13.49,30.0,40.0,1,41,4,50.0,70.75,1,battery_drain,tablet,2025-07-13 14:00:45.808517
9.05,40.32,9.87,87.23,23.93,5,56,3,50.0,50.0,1,sensor_malfunction,smartwatch,2025-06-22 14:00:45.808527
82.39,32.16,8.94,21.56,25.11,5,13,1,50.0,50.0,1,water_damage,smartwatch,2025-05-15 14:00:45.808538
56.48,46.94,6.31,83.0,40.0,7,27,1,50.0,50.0,1,overheating,laptop,2025-11-16 14:00:45.808549
82.6042515455025,32.161261474143245,18.21,13.475265747217351,95.37,2,15,1,50.0,50.0,0,healthy,headphones,2025-06-25 14:00:45.808560
1.07,31.49,8.34,93.03,60.27,1,12,2,50.0,50.0,1,wifi_connectivity,tablet,2025-07-20 14:00:45.808570
87.9851789153467,32.18589620485611,9.65,12.039197142922648,40.0,2,46,1,50.0,87.59,0,healthy,headphones,2025-10-17 14:00:45.808582
88.59837247674912,25.86996122498074,22.44,47.430844600997744,37.85,2,11,4,50.0,50.0,0,healthy,headphones,2025-10-21 14:00:45.808593
54.64267213758007,21.433374415877843,16.5,9.976805288133361,2.37,1,45,2,50.0,50.0,0,healthy,tablet,2024-12-17 14:00:45.808604
63.14970536003795,33.43303015450713,8.45,4.076400399059931,88.76,2,31,2,50.0,50.0,0,healthy,headphones,2025-09-28 14:00:45.808615
50.0,30.0,8.0,77.21,90.65,4,9,5,50.0,50.0,1,software_lag,smartphone,2025-07-03 14:00:45.808626
7.79,37.72,17.41,30.0,40.0,5,13,3,50.0,77.15,1,battery_drain,smartwatch,2025-04-14 14:00:45.808637
74.93916965414141,32.406810206544826,3.09,38.09920854709152,10.2,7,19,1,50.0,50.0,0,healthy,laptop,2025-01-21 14:00:45.808648
80.52,42.13,21.82,3.16,86.48,5,59,5,50.0,50.0,1,water_damage,smartwatch,2025-05-22 14:00:45.808658
50.0,30.0,8.0,30.0,40.0,2,17,1,26.15,50.0,1,charging_issue,headphones,2025-07-13 14:00:45.808670
18.91,40.35,3.67,70.31,27.02,1,32,3,50.0,50.0,1,screen_issue,tablet,2025-01-19 14:00:45.808680
18.87,36.48,21.89,30.0,40.0,2,3,5,50.0,73.37,1,battery_drain,headphones,2025-04-07 14:00:45.808696
19.53,50.2,3.66,84.69,16.37,5,49,4,50.0,50.0,1,screen_damage,smartwatch,2025-11-13 14:00:45.808708
79.29,50.26,11.04,33.33,88.24,2,51,1,50.0,50.0,1,physical_damage,headphones,2025-11-14 14:00:45.808718
79.01945861711165,29.06032892352391,14.58,25.740773441115923,39.91,5,11,3,50.0,50.0,0,healthy,smartwatch,2025-06-15 14:00:45.808729
90.82,53.81,17.98,80.72,19.86,2,23,1,50.0,50.0,1,connectivity_issue,headphones,2025-09-15 14:00:45.808739
36.63,40.38,2.64,51.25,68.34,2,2,1,50.0,50.0,1,connectivity_issue,headphones,2025-02-10 14:00:45.808749
80.54022953434381,27.2966870958144,4.7,43.2877750261044,9.98,5,49,4,50.0,50.0,0,healthy,smartwatch,2024-12-14 14:00:45.808763
85.2896262694268,24.433957950968406,7.61,34.01028724283807,39.77,1,16,3,50.0,50.0,0,healthy,tablet,2025-03-27 14:00:45.808775
25.49,72.6,8.29,80.64,40.0,7,24,5,50.0,50.0,1,overheating,laptop,2025-02-08 14:00:45.808791
99.61747070700144,32.349182609214175,0.32,44.476662891151044,68.79,5,44,5,50.0,50.0,0,healthy,smartwatch,2025-03-26 14:00:45.808803
63.59,21.44,22.1,45.83,80.71,7,19,2,50.0,50.0,1,hard_drive_failure,laptop,2025-01-13 14:00:45.808814
